level,word,meaning
5,apple,りんご
5,book,本
5,cat,猫
5,dog,犬
5,egg,卵
5,fish,魚
5,girl,女の子
5,house,家
5,ice,氷
5,juice,ジュース
5,key,かぎ
5,lemon,レモン
5,milk,牛乳
5,night,夜
5,open,開ける
5,park,公園
5,queen,女王
5,rain,雨
5,school,学校
5,table,机
5,uncle,おじ
5,voice,声
5,water,水
5,year,年
5,zoo,動物園
4,afraid,恐れて
4,believe,信じる
4,careful,注意深い
4,difficult,難しい
4,enough,十分な
4,famous,有名な
4,glad,うれしい
4,healthy,健康な
4,important,重要な
4,join,加わる
4,kind,親切な
4,leave,出発する
4,mountain,山
4,necessary,必要な
4,often,しばしば
4,popular,人気のある
4,quick,速い
4,remember,覚えている
4,stay,滞在する
4,travel,旅行する
4,understand,理解する
4,visit,訪問する
4,weather,天気
4,young,若い
3,abroad,外国へ
3,bridge,橋
3,century,世紀
3,disappear,消える
3,environment,環境
3,festival,祭り
3,government,政府
3,history,歴史
3,increase,増加する
3,journey,旅行
3,knowledge,知識
3,language,言語
3,medicine,薬
3,neighbor,近所の人
3,opinion,意見
3,peace,平和
3,quality,質
3,receive,受け取る
3,society,社会
3,traditional,伝統的な
3,university,大学
3,village,村
3,waste,無駄にする
3,yesterday,昨日
3,zero,ゼロ
準2,adventure,冒険
準2,benefit,利益
準2,condition,条件
準2,description,説明
準2,education,教育
準2,force,力
準2,generation,世代
準2,habit,習慣
準2,imagine,想像する
準2,judge,判断する
準2,knowledge,知識
準2,location,場所
準2,manage,管理する
準2,negative,否定的な
準2,opportunity,機会
準2,provide,提供する
準2,quality,質
準2,reason,理由
準2,situation,状況
準2,technology,技術
準2,universe,宇宙
準2,value,価値
準2,weapon,武器
準2,yield,産出する
準2,zone,地帯
2,accurate,正確な
2,budget,予算
2,complain,不平を言う
2,decrease,減少する
2,essential,不可欠な
2,flexible,柔軟な
2,guarantee,保証する
2,hesitate,ためらう
2,influence,影響
2,justice,正義
2,lack,不足
2,maintain,維持する
2,notion,概念
2,objective,客観的な
2,poverty,貧困
2,quit,辞める
2,reduce,減らす
2,significant,重要な
2,theory,理論
2,urgent,緊急の
2,variety,多様性
2,wealth,富
2,yield,屈する
2,analyze,分析する
2,barrier,障壁
準1,abandon,捨てる
準1,bewilder,当惑させる
準1,coincide,同時に起こる
準1,deteriorate,悪化する
準1,eliminate,排除する
準1,fluctuate,変動する
準1,genuine,本物の
準1,hinder,妨げる
準1,inevitable,避けられない
準1,jeopardize,危険にさらす
準1,kinship,親族関係
準1,legitimate,合法的な
準1,manifest,明らかにする
準1,negligent,怠慢な
準1,obsolete,廃れた
準1,perceive,知覚する
準1,quench,癒やす
準1,reluctant,気が進まない
準1,subsequent,次の
準1,threshold,敷居
準1,unanimous,満場一致の
準1,vulnerable,脆弱な
準1,withdraw,引き出す
準1,yield,譲る
準1,zeal,熱意
